contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,moneyness,days_to_expiration,T,bs_price,pricing_error,abs_error
AAPL250314C00212500,2025-03-10 18:55:20+00:00,212.5,15.7,15.7,16.05,-11.500001,-42.279415,67,18,0.5219774365234374,TRUE,REGULAR,USD,call,3/14/2025,0.9339017315636812,4,0.010958904109589041,15.73909997565957,-0.039099976,0.039099976
AAPL250314C00215000,2025-03-10 19:35:34+00:00,215,13.8,13.45,13.8,-10.749999,-43.788185,404,88,0.5251512329101562,TRUE,REGULAR,USD,call,3/14/2025,0.944888811,4,0.010958904109589041,13.583548359353358,0.21645164064664257,0.21645164064664257
AAPL250314C00217500,2025-03-10 19:55:46+00:00,217.5,11.37,11.3,11.85,-11.179999,-49.57871,416,91,0.5268602001953125,TRUE,REGULAR,USD,call,3/14/2025,0.9558758899534148,4,0.010958904109589041,11.55223557450742,-0.182235575,0.18223557450742156
AAPL250314C00220000,2025-03-10 19:56:53+00:00,220,9.55,9.4,9.6,-9.8,-50.645992,6790,613,0.47803256347656253,TRUE,REGULAR,USD,call,3/14/2025,0.9668629691482816,4,0.010958904109589041,9.293390159291164,0.25660984070883686,0.25660984070883686
AAPL250314C00222500,2025-03-10 19:59:58+00:00,222.5,7.65,7.65,7.8,-9.85,-56.285717,1477,770,0.46777876,TRUE,REGULAR,USD,call,3/14/2025,0.9778500483431485,4,0.010958904109589041,7.440811493877078,0.2091885061229224,0.2091885061229224
AAPL250314C00225000,2025-03-10 19:59:55+00:00,225,6,5.9,6.1,-9.15,-60.396038,10177,1186,0.45044494873046875,TRUE,REGULAR,USD,call,3/14/2025,0.9888371275380153,4,0.010958904109589041,5.711326559103156,0.28867344089684366,0.28867344089684366
AAPL250314C00227500,2025-03-10 19:59:58+00:00,227.5,4.5,4.5,4.65,-8.39,-65.08922,14755,485,0.4387263159179688,FALSE,REGULAR,USD,call,3/14/2025,0.9998242067328822,4,0.010958904109589041,4.243890189894657,0.25610981010534317,0.25610981010534317
AAPL250314C00230000,2025-03-10 19:59:59+00:00,230,3.3,3.25,3.35,-7.42,-69.216415,43177,1837,0.4211483666992188,FALSE,REGULAR,USD,call,3/14/2025,1.010811285927749,4,0.010958904109589041,2.9575118373287097,0.3424881626712901,0.3424881626712901
AAPL250314C00232500,2025-03-10 19:59:56+00:00,232.5,2.32,2.26,2.32,-6.2700005,-72.99186,24032,1498,0.40796490478515623,FALSE,REGULAR,USD,call,3/14/2025,1.021798365122616,4,0.010958904109589041,1.962403097596436,0.3575969024035639,0.3575969024035639
AAPL250314C00235000,2025-03-10 19:59:59+00:00,235,1.54,1.5,1.55,-5.26,-77.352936,47788,3155,0.3986876538085938,FALSE,REGULAR,USD,call,3/14/2025,1.0327854443174826,4,0.010958904109589041,1.2413160825681189,0.29868391743188116,0.29868391743188116
AAPL250314C00237500,2025-03-10 19:59:57+00:00,237.5,0.97,0.95,0.99,-4.08,-80.792076,16961,6097,0.39111937011718745,FALSE,REGULAR,USD,call,3/14/2025,1.0437725235123496,4,0.010958904109589041,0.7422780209865891,0.22772197901341085,0.22772197901341085
AAPL250314C00240000,2025-03-10 19:59:57+00:00,240,0.61,0.58,0.61,-2.8899999,-82.57143,36868,9851,0.38623660644531244,FALSE,REGULAR,USD,call,3/14/2025,1.0547596027072164,4,0.010958904109589041,0.42424053589830635,0.18575946410169364,0.18575946410169364
AAPL250314C00242500,2025-03-10 19:59:52+00:00,242.5,0.35,0.35,0.37,-2.02,-85.23207,13644,3625,0.3842835009765625,FALSE,REGULAR,USD,call,3/14/2025,1.065746681902083,4,0.010958904109589041,0.23523031479554213,0.11476968520445785,0.11476968520445785
AAPL250314C00245000,2025-03-10 19:59:49+00:00,245,0.21,0.2,0.22,-1.3,-86.09271,13417,9947,0.38477177734374995,FALSE,REGULAR,USD,call,3/14/2025,1.076733761,4,0.010958904109589041,0.12797876497292648,0.082021235,0.082021235
AAPL250314C00247500,2025-03-10 19:59:39+00:00,247.5,0.11,0.11,0.15,-0.78999996,-87.77778,14071,8826,0.39649041015625003,FALSE,REGULAR,USD,call,3/14/2025,1.0877208402918168,4,0.010958904109589041,0.080527912,0.029472088105218078,0.029472088105218078
AAPL250314C00250000,2025-03-10 19:58:15+00:00,250,0.07,0.07,0.09,-0.45999998,-86.79245,8976,13117,0.39942006835937505,FALSE,REGULAR,USD,call,3/14/2025,1.0987079194866838,4,0.010958904109589041,0.04350631,0.02649369,0.02649369
AAPL250314C00252500,2025-03-10 19:54:34+00:00,252.5,0.04,0.03,0.05,-0.26000002,-86.66667,6144,6419,0.398443516,FALSE,REGULAR,USD,call,3/14/2025,1.1096949986815505,4,0.010958904109589041,0.021072337603019742,0.018927662,0.018927662
AAPL250314C00255000,2025-03-10 19:52:06+00:00,255,0.02,0.02,0.03,-0.14,-87.5,6398,9734,0.406255938,FALSE,REGULAR,USD,call,3/14/2025,1.1206820778764173,4,0.010958904109589041,0.012068278036205249,0.007931722,0.007931722
AAPL250314C00257500,2025-03-10 19:29:47+00:00,257.5,0.01,0.01,0.02,-0.09,-90,1609,5680,0.414068359,FALSE,REGULAR,USD,call,3/14/2025,1.1316691570712842,4,0.010958904109589041,0.006921898,0.003078102,0.003078102
AAPL250314C00260000,2025-03-10 19:57:52+00:00,260,0.01,0,0.01,-0.04,-80.00001,1650,7464,0.414068359,FALSE,REGULAR,USD,call,3/14/2025,1.142656236266151,4,0.010958904109589041,0.003193842,0.006806158,0.006806158
AAPL250314C00262500,2025-03-10 18:19:37+00:00,262.5,0.01,0,0.01,-0.02,-66.66667,366,1638,0.437505625,FALSE,REGULAR,USD,call,3/14/2025,1.153643315461018,4,0.010958904109589041,0.002885076,0.007114924,0.007114924
AAPL250314C00265000,2025-03-10 18:27:01+00:00,265,0.01,0,0.01,-0.02,-66.66667,389,2898,0.468755313,FALSE,REGULAR,USD,call,3/14/2025,1.1646303946558847,4,0.010958904109589041,0.003269189,0.006730811,0.006730811
AAPL250314C00267500,2025-03-10 13:31:24+00:00,267.5,0.01,0,0.01,-0.01,-50,4,1135,0.49219257812500006,FALSE,REGULAR,USD,call,3/14/2025,1.1756174738507517,4,0.010958904109589041,0.003038931,0.006961069,0.006961069
AAPL250314C00270000,2025-03-10 19:00:20+00:00,270,0.01,0,0.01,0,0,46,2733,0.515629844,FALSE,REGULAR,USD,call,3/14/2025,1.1866045530456184,4,0.010958904109589041,0.002865286,0.007134714,0.007134714
AAPL250314C00272500,2025-03-07 19:35:48+00:00,272.5,0.01,0,0.01,0,0,84,98,0.500005,FALSE,REGULAR,USD,call,3/14/2025,1.1975916322404851,4,0.010958904109589041,0.000983132,0.009016868,0.009016868
AAPL250314C00275000,2025-03-10 15:02:34+00:00,275,0.01,0,0.01,0,0,1027,915,0.531254688,FALSE,REGULAR,USD,call,3/14/2025,1.2085787114353521,4,0.010958904109589041,0.00121644,0.00878356,0.00878356
AAPL250314C00280000,2025-03-07 20:18:44+00:00,280,0.01,0,0.01,0,0,10,943,0.578129219,FALSE,REGULAR,USD,call,3/14/2025,1.2305528698250858,4,0.010958904109589041,0.001224767,0.008775233,0.008775233
AAPL250314C00285000,2025-03-07 17:07:21+00:00,285,0.01,0,0.01,0,0,1,132,0.6250037500000001,FALSE,REGULAR,USD,call,3/14/2025,1.2525270282148193,4,0.010958904109589041,0.001264371,0.008735629,0.008735629
AAPL250314C00290000,2025-03-07 17:58:37+00:00,290,0.01,0,0.01,0,0,12,258,0.6562534375000001,FALSE,REGULAR,USD,call,3/14/2025,1.274501186604553,4,0.010958904109589041,0.00093908,0.00906092,0.00906092
